序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
50,002701,奥瑞金,0.31,13672912690.0,13842844723.0,-1.227580287148,-22.881618192574,790514655.0,774530196.0,2.063761888504,-86.1746141122,3.55,8.86,包装印刷,2026-04-10
51,000657,中钨高新,0.48,14779490000.0,13675464886.13,8.073035345144,-2.867713666079,991250000.0,799753952.34,23.944370277846,12.3485148811,5.58,12.84,小金属,2026-04-10
52,601677,明泰铝业,1.46,32320871900.0,26442183723.25,22.232234063108,3.89135858009,1748479000.0,1347488327.37,29.758378197802,-1.2317257876,13.91,10.65,工业金属,2026-04-09
53,002971,和远气体,0.35,1532992800.0,1654555352.66,-7.347143295301,-18.990045787139,73172100.0,83767211.12,-12.648279653028,-4.5577796595,7.41,5.54,化学制品,2026-04-09
54,002376,新北洋,0.075,2376285400.0,2189645209.48,8.523764019483,2.18617215818,48536300.0,19263942.98,151.954130316887,-56.2126240339,4.79,1.55,计算机设备,2026-04-09
55,000797,中国武夷,0.0159,6788795000.0,9486802816.03,-28.439589905581,41.122097938309,25031800.0,39010956.14,-35.83392339791,85.9614813999,3.32,0.49,房地产开发,2026-04-09
56,600186,莲花控股,0.12,2646440500.0,2100723000.0,25.977603901133,-0.155067128646,202582800.0,129927400.0,55.919998399106,-41.7707575346,0.95,12.35,调味发酵品Ⅱ,2026-04-08
57,301563,云汉芯城,1.81,2577269899.86,2637090412.2,-2.26842857049,16.881504407452,88272786.59,78612584.95,12.288365337616,90.7137373389,15.32,12.55,其他电子Ⅱ,2026-04-08
58,301265,华新科技,0.1573,641168100.0,730028428.38,-12.172173702494,2.923783813947,47243500.0,88628176.14,-46.694717123172,-62.9165513214,6.82,2.3,环境治理,2026-04-08
59,300953,震裕科技,1.79,7128692500.0,6018512230.51,18.446091442036,12.308030604225,253949100.0,42768842.93,493.771265721731,100.3696145107,27.85,9.42,电池,2026-04-08
60,300201,海伦哲,0.2263,1591455000.0,1352190801.92,17.694558914338,22.772425343125,223640700.0,205860115.82,8.637216640618,10.6086856571,1.5228,15.59,工程机械,2026-04-08
61,002384,东山精密,0.64,36770374300.0,33651205500.0,9.269114593829,4.74061491243,1085641800.0,1964525300.0,-44.737703301658,-96.3912257488,11.04,5.89,元件,2026-04-08
62,300475,香农芯创,0.58,24271110500.0,11267690707.79,115.404479315535,-10.834524930172,264072000.0,377663889.55,-30.0775087831,-148.1978959639,6.42,9.65,其他电子Ⅱ,2026-04-07
